nr,intrebare,raspuns_sistem,verdict
36,Când are loc înmatricularea studenților din anul I?,"Conform informațiilor disponibile, înmatricularea studenților din anul I la licență se desfășoară astfel:

## Sesiunea 1 – Admitere anticipată (2026)

**Faza III – Validare, confirmare, înscriere în anul I și înmatriculare:**
- **15 iulie – 17 iulie 2026**, fizic, la sediul Facultății de Automatică și Calculatoare
- Programarea se face în prealabil prin aplicația de la adresa **programari.acs.upb.ro**, selectând opțiunea *„Admitere licență 2026 – Sesiunea 1 – Candidați admiși – Înmatriculare (15-17 Iulie)""*

## Aspecte importante:
- Înmatricularea se realizează **personal** sau **prin procură notarială**, la sediul facultății
- Candidații pre-admiși care **nu confirmă locul** sau nu au dosarul complet validat **vor pierde locul rezervat**
- Documentele originale necesare se regăsesc în **Regulamentul de admitere, Anexa V**
- Taxa de înmatriculare este de **50 lei** și poate fi plătită online

> ⚠️ **Notă:** Dacă ești interesat de sesiunea a 2-a sau de alte detalii specifice, îți recomand să consulți calendarul complet afișat pe site-ul facultății sau să contactezi secretariatul, deoarece unele date pot fi actualizate.",
37,Care este perioada de înscriere la cămine?,"Conform informațiilor disponibile, perioada de înscriere la cămine variază în funcție de categoria de studenți:

**Pentru studenții din anul 1 (anul universitar 2025-2026):**
- Confirmarea cazării se face **în perioada înmatriculărilor**, conform calendarului afișat de facultate pentru sesiunile de admitere.
- Formalitățile se efectuează în **holul EC al facultății**, după înmatriculare.

**Pentru studenții din ceilalți ani (2025-2026):**
- Cazarea propriu-zisă se face în perioada **26-28 septembrie 2025**:
  - **Vineri, 26.09** – anii 2 și 3 licență (orele 09:00-15:00)
  - **Sâmbătă, 27.09** – anul 1 licență (orele 09:00-15:00)
  - **Duminică, 28.09** – anul 4 licență și masteranzi (orele 09:00-15:00)

**Informații importante:**
- Repartizarea pe camere se afișează pe portalul **studenti.pub.ro** cel târziu **joi, 25.09.2025**.
- Studenții trebuie să își facă **programare** pe platforma **programari.acs.upb.ro**.
- Studenții care nu se cazează în intervalul programat **își pierd repartizarea în cămin**.

Dacă ai nevoie de informații mai detaliate, îți recomand să consulți anunțurile oficiale de pe site-ul facultății.",
38,Până când pot renunța la o materie opțională fără consecințe?,"Pe baza informațiilor disponibile, nu pot oferi un răspuns precis cu privire la termenul limită până la care poți renunța la o materie opțională fără consecințe.

Ceea ce pot preciza, conform **Regulamentului ECTS** și informațiilor de pe site-ul facultății, este că:

- **Disciplinele opționale**, odată alese și incluse în **contractul de studii**, devin **obligatorii** pentru studentul respectiv. Prin urmare, renunțarea la ele după includerea în contract poate avea consecințe.
- Selecția disciplinelor opționale se face de obicei **la începutul semestrului** (de exemplu, în anii anteriori, termenul a fost în jurul datei de **09.10** a anului respectiv).

Pentru a afla termenul exact până la care poți modifica opțiunile fără consecințe pentru anul universitar curent, îți recomand să:

1. **Contactezi secretariatul facultății** direct.
2. **Verifici platforma CURS (curs.upb.ro)** pentru anunțuri administrative actualizate.
3. **Consulți regulamentul ECTS** în vigoare sau **contractul de studii** semnat.

Aceste detalii pot varia de la un an universitar la altul, iar secretariatul îți poate oferi informații precise și actualizate.",
39,Când se publică orarele pentru semestrul următor?,"Nu dețin informații specifice despre data exactă la care se publică orarele pentru semestrul următor la Facultatea de Automatică și Calculatoare.

Din sursele disponibile, există o singură mențiune relevantă din raportul anului universitar 2013-2014, care precizează că **orarul semestrului 2 pentru învățământul de masterat a fost afișat încă de la începutul anului universitar**, pentru a evita suprapunerea cursurilor opționale cu cele obligatorii.

Pentru informații actualizate despre publicarea orarelor, îți recomand să:

- **Verifici site-ul facultății**: [acs.upb.ro](https://acs.upb.ro)
- **Urmărești platforma Teams** sau **curs.upb.ro**
- **Contactezi secretariatul facultății** pentru detalii precise
- **Urmărești îndrumătorul de an/serie**, care transmite de obicei astfel de anunțuri",
40,Care este termenul de depunere a contestațiilor la examenul de bacalaureat instituțional?,,
41,Ce materii sunt obligatorii în anul II la specializarea CTI?,,
42,Care sunt materiile opționale disponibile în semestrul I al anului III la IS?,,
43,Ce specializări oferă Facultatea de Automatică și Calculatoare?,,
44,Care este structura planului de învățământ pentru programul de master FILS?,,
45,Câte ore de laborator are disciplina Rețele de Calculatoare pe săptămână?,,
46,Ce limbaje de programare sunt studiate în primul an?,,
47,Care sunt condițiile de admitere la master la ACS?,,
48,Ce diferențe există între specializarea Calculatoare și Automatică?,,
49,Există cursuri predate în engleză la ACS?,,
50,Care este structura examenului de licență?,,
51,Cine predă Baze de Date și câte credite are materia?,,
52,Care este titularul SO și când are loc examenul în sesiunea de iarnă?,,
53,Câte credite are Rețele de Calculatoare și cine coordonează laboratorul?,,
54,Cum depun cerere de reexaminare și care este termenul limită?,,
55,Ce materii opționale există în anul III și câte credite au?,,
56,[Urmărire după BD] Câte credite are?,,
57,[Urmărire după SO] Cine o predă?,,
58,[Urmărire după sesiunea de iarnă] Când se termină?,,
59,[Urmărire după cererea de reexaminare] Ce documente sunt necesare?,,
60,[Urmărire după titularul unui curs] Are pagină web?,,
61,Care este nota medie la Baze de Date în sesiunea trecută?,,
62,Câți studenți sunt înscriși la ACS în acest an?,,
63,Care este salariul unui profesor asistent la UPB?,,
64,Ce restaurant este recomandat lângă facultate?,,
65,Care sunt subiectele de la examenul de SO din ianuarie 2024?,,
